name,msg,time,link,length,expmsg
alexg,Re: милитари баланс,2000-12-11 18:48:18,https://vif2ne.org/nvk/forum/archive/words/39800?text=,1.68K,"Просьба сбросить сабж в копилу..."""
Чингизид,Re: милитари баланс,2000-11-23 15:54:20,https://vif2ne.org/nvk/forum/archive/words/42709?text=,1.94K,"Приветствую !>Просьба сбросить сабж в копилуВесь невозможно технически - за Россию отвеч..."""
Дмитрий Анненков,С праздником!,2001-12-04 12:22:41,https://vif2ne.org/nvk/forum/archive/words/92718?text=,1.82K,"Поздравляю всех участников форума с днем космонавтики!Немного печально, но все-таки есть чем гордиться...С уважением..."""
Alex318i,С Днем Космонавтики плюс кое-что с ленты.вру (+),2001-12-04 12:30:40,https://vif2ne.org/nvk/forum/archive/words/92435?text=,3.00K,"Приветствую,так и знал, что к празднику напишут что-нибудь подобное:"
Андю,"Трудно было ожидать 40-летия без ""этого"". Садо/мазо. :(((( (-)",2001-12-04 12:35:52,https://vif2ne.org/nvk/forum/archive/words/92436?text=,1.69K,"..."""
Vadim,Re: С Днем...,2001-12-04 13:28:05,https://vif2ne.org/nvk/forum/archive/words/92437?text=,2.10K,"Привeтствую.A eщe (a чeго удивляться?) нигдe особeнно нe прaзднуют эту дaту. Всe-тaки пeрвый чeловeк в космосe.В..."""
Коля-02,Довольно утопический вопрос про полет на Марс,2001-12-04 13:41:03,https://vif2ne.org/nvk/forum/archive/words/92738?text=,5.46K,"Может ли быть осуществлен полет человека на Марс (с посадкой и возвратом естественно) при существующей ракетной технике (без рез..."""
А.Б.,"Re: Может, но зачем?",2001-12-04 13:54:34,https://vif2ne.org/nvk/forum/archive/words/92739?text=,1.87K,"Флаг можно и самовтыкающийся сбросить - много дешевле выйдет :)А для науки - автоматические станции - более разумное решение..."""
Alex Lee,При существующем уровне технологий возможна экспедиция даже к ближайшей системе (-),2001-12-04 14:02:44,https://vif2ne.org/nvk/forum/archive/words/92741?text=,2.86K,"..."""
Андю,С размножением в космосе ? :) Это же десятилетия... Нет ? (-),2001-12-04 14:07:01,https://vif2ne.org/nvk/forum/archive/words/92742?text=,2.49K,"..."""
А.Б.,Re: Перетерпят :) (-),2001-12-04 14:11:55,https://vif2ne.org/nvk/forum/archive/words/92743?text=,1.57K,"..."""
gol,все было...было...,2001-12-04 14:22:02,https://vif2ne.org/nvk/forum/archive/words/92440?text=,2.93K,">Осталось еще подождать традиционных материалов >Алексей.Было и ..."""
Alex Lee,Кажется теоретически возможно в течении жизни одного поколения. (-),2001-12-04 14:22:53,https://vif2ne.org/nvk/forum/archive/words/92744?text=,2.09K,"..."""
И. Кошкин,"Дык это, извините, у всех так...",2001-12-04 14:46:45,https://vif2ne.org/nvk/forum/archive/words/92441?text=,3.41K,"Я вас приветствую! Хррр. Хрррр. Ххуррагх!>>Осталось еще подождать традиционных материалов>>..."""
И. Кошкин,Да-да-да-да. Только топливо переть тяжко. А так... (-),2001-12-04 14:56:52,https://vif2ne.org/nvk/forum/archive/words/92745?text=,1.90K,"..."""
