name,msg,time,link,length
SDA,Re: Бластеры были переданы русскими грендайзерам!,2001-05-16 17:37:38,https://vif2ne.org/nvk/forum/archive/words/105391?text=%CD%CB%CE,2.70K
А.Никольский,У нас опять изобрели НЛО и холодный термояд,2001-12-07 15:49:04,https://vif2ne.org/nvk/forum/archive/words/130602?text=%CD%CB%CE,5.11K
bankir,Отличный источник - воспоминания Чертока,2001-12-27 19:20:37,https://vif2ne.org/nvk/forum/archive/words/209177?text=%CD%CB%CE,2.12K
avro,"""Реальное"" НЛО в Колпашево?",2002-10-19 12:11:18,https://vif2ne.org/nvk/forum/archive/words/386188?text=%CD%CB%CE,12.27K
Валерий Мухин,"Re: ""Реальное"" НЛО...",2002-10-19 13:07:12,https://vif2ne.org/nvk/forum/archive/words/386189?text=%CD%CB%CE,2.20K
Venik,"И еще пару книг по ""эфирной"" физике и антигравитации",2002-01-11 05:59:32,https://vif2ne.org/nvk/forum/archive/words/399358?text=%CD%CB%CE,2.91K
xb,Re: Это вряд...,2003-04-02 00:18:22,https://vif2ne.org/nvk/forum/archive/words/457268?text=%CD%CB%CE,2.10K
ARTHURM,Таинственное в американской истории,2003-11-21 14:20:40,https://vif2ne.org/nvk/forum/archive/words/634818?text=%CD%CB%CE,5.74K
Serguei,Re: Таинственное в...,2003-11-21 19:31:32,https://vif2ne.org/nvk/forum/archive/words/634824?text=%CD%CB%CE,2.55K
FVL1~01,Блин,2003-11-21 21:24:36,https://vif2ne.org/nvk/forum/archive/words/634826?text=%CD%CB%CE,5.06K
Сергей Зыков,"Однажды, тёмной-тёмной ночью, на обратной стороне Луны",2003-11-23 13:13:13,https://vif2ne.org/nvk/forum/archive/words/634839?text=%CD%CB%CE,5.79K
Dassie,"Кстати, уже почти год летающий вокруг Марса",2004-09-11 08:34:11,https://vif2ne.org/nvk/forum/archive/words/865908?text=%CD%CB%CE,6.64K
Wizard,Re: Ну уж...,2004-11-29 15:53:15,https://vif2ne.org/nvk/forum/archive/words/880395?text=%CD%CB%CE,3.27K
Pout,Это было и осталось предметом инофрмационной войны,2006-01-03 06:51:28,https://vif2ne.org/nvk/forum/archive/words/1126726?text=%CD%CB%CE,3.65K
Volhov,"А он заверил вас, что все фото - подлинные. И что...",2006-08-15 15:46:11,https://vif2ne.org/nvk/forum/archive/words/1208925?text=%CD%CB%CE,4.52K
Технолог Петухов,Re: А он,2006-08-15 15:56:39,https://vif2ne.org/nvk/forum/archive/words/1208926?text=%CD%CB%CE,2.23K
Volhov,Re: Что-то мне...,2006-08-15 18:12:06,https://vif2ne.org/nvk/forum/archive/words/1208931?text=%CD%CB%CE,4.08K
astro-01,Страшная НЛО Третьего Рейха - много чертежей и снимков,2006-09-10 16:29:21,https://vif2ne.org/nvk/forum/archive/words/1240095?text=%CD%CB%CE,1.94K
Pavel,"Вопрос по программе ""Аполло""",2007-01-26 12:02:50,https://vif2ne.org/nvk/forum/archive/words/1291419?text=%CD%CB%CE,2.78K
Pavel,"Спасибо, я уж ту открыл(+)",2007-01-29 11:42:31,https://vif2ne.org/nvk/forum/archive/words/1291425?text=%CD%CB%CE,1.77K
Мертник С.,И я про то: нормальную такую кину,2010-04-02 17:54:44,https://vif2ne.org/nvk/forum/archive/words/1832730?text=%CD%CB%CE,2.12K
