name,msg,time,link,length,expmsg
SDA,Re: Бластеры были переданы русскими грендайзерам!,2001-05-16 17:37:38,https://vif2ne.org/nvk/forum/archive/words/105391?text=%CD%CB%CE,2.70K,"«Радиостанция «Свобода», со ссылкой на Администрацию президента США, предала гласности (так долго скрываемый русскими от цивилиз..."""
А.Никольский,У нас опять изобрели НЛО и холодный термояд,2001-12-07 15:49:04,https://vif2ne.org/nvk/forum/archive/words/130602?text=%CD%CB%CE,5.11K,"Российские ученые сделали ряд фундаментальных открытий, способных произвести революцию в промышленности и энергетике и, по сути ..."""
bankir,Отличный источник - воспоминания Чертока,2001-12-27 19:20:37,https://vif2ne.org/nvk/forum/archive/words/209177?text=%CD%CB%CE,2.12K,"комментировать тут, собственно, нечего. как скажут наши малороссийские друзья - ""боле змраду чем потехи""могу добавит..."""
avro,"""Реальное"" НЛО в Колпашево?",2002-10-19 12:11:18,https://vif2ne.org/nvk/forum/archive/words/386188?text=%CD%CB%CE,12.27K,"""Вечерний Новосибирск"", сегодняЗагадочное происшествие в Томской области, которого могло и не быть?!.О т..."""
Валерий Мухин,"Re: ""Реальное"" НЛО...",2002-10-19 13:07:12,https://vif2ne.org/nvk/forum/archive/words/386189?text=%CD%CB%CE,2.20K,">Деревья поблизости загорелись, жар был настолько силен, что мы сорвали одеяла с постелей, быстро намочили в во..."""
Venik,"И еще пару книг по ""эфирной"" физике и антигравитации",2002-01-11 05:59:32,https://vif2ne.org/nvk/forum/archive/words/399358?text=%CD%CB%CE,2.91K,"Мое почтение!""Electrogravitics Systems"" (""Электрогравитационные Системы""), на англ., PDF, 3Mb "
xb,Re: Это вряд...,2003-04-02 00:18:22,https://vif2ne.org/nvk/forum/archive/words/457268?text=%CD%CB%CE,2.10K,">ниже 100 км уже больше одного оборота сделать проблематично - аэродинамическое торможение не даст. Учитывая вы..."""
ARTHURM,Таинственное в американской истории,2003-11-21 14:20:40,https://vif2ne.org/nvk/forum/archive/words/634818?text=%CD%CB%CE,5.74K,"Добрый день!Список X-files, правду о который мы скорее всего не узнаем никогда, потому что правительство США бережет сек..."""
Serguei,Re: Таинственное в...,2003-11-21 19:31:32,https://vif2ne.org/nvk/forum/archive/words/634824?text=%CD%CB%CE,2.55K,">Добрый день!>Список X-files, правду о который мы скорее всего не узнаем никогд..."""
FVL1~01,Блин,2003-11-21 21:24:36,https://vif2ne.org/nvk/forum/archive/words/634826?text=%CD%CB%CE,5.06K,"И снова здравствуйте>1. Убийство КеннедиКакого из многих. Этих Кеннеди столько наубивали :-)..."""
Сергей Зыков,"Однажды, тёмной-тёмной ночью, на обратной стороне Луны",2003-11-23 13:13:13,https://vif2ne.org/nvk/forum/archive/words/634839?text=%CD%CB%CE,5.79K,"Вот это знаменитое фото, жаль поприличнее сейчас не нашел. А так оно вполне было...Регулярно публиковалось в одно время. Шиб..."""
Dassie,"Кстати, уже почти год летающий вокруг Марса",2004-09-11 08:34:11,https://vif2ne.org/nvk/forum/archive/words/865908?text=%CD%CB%CE,6.64K,"европейский космический аппарат ""Марс Экспресс""был выведен на орбиту ""Союзом"" акурат с разгонным блоком ""Фрегат"". Дело было ..."""
Wizard,Re: Ну уж...,2004-11-29 15:53:15,https://vif2ne.org/nvk/forum/archive/words/880395?text=%CD%CB%CE,3.27K,"Я, к сожалению, никогда не задумывался о принципе работы приемной антеныРЛС.Но, как мне представляется, смысл движен..."""
Pout,Это было и осталось предметом инофрмационной войны,2006-01-03 06:51:28,https://vif2ne.org/nvk/forum/archive/words/1126726?text=%CD%CB%CE,3.65K,">>Рассказывают такую байку.>Для отработки системы космической радиосвязи на каком-то из первых спут..."""
Volhov,"А он заверил вас, что все фото - подлинные. И что...",2006-08-15 15:46:11,https://vif2ne.org/nvk/forum/archive/words/1208925?text=%CD%CB%CE,4.52K,"..что мировое сообщество видело все триста кг грунта? И, наверно, он рассказал вам, что в советской программе Луны были план..."""
Технолог Петухов,Re: А он,2006-08-15 15:56:39,https://vif2ne.org/nvk/forum/archive/words/1208926?text=%CD%CB%CE,2.23K,"> Возьмите, например, последнее интервью Олдрина в Дискавери - он говорит о НЛО...Когда он врал? А он тоже чело..."""
Volhov,Re: Что-то мне...,2006-08-15 18:12:06,https://vif2ne.org/nvk/forum/archive/words/1208931?text=%CD%CB%CE,4.08K,">на посту Королева и непосредственно занимавшийся лунной программой - в вопросах полета к Луне все же профе..."""
astro-01,Страшная НЛО Третьего Рейха - много чертежей и снимков,2006-09-10 16:29:21,https://vif2ne.org/nvk/forum/archive/words/1240095?text=%CD%CB%CE,1.94K," http://www.stevequayle.com/High.Ju..."""
Pavel,"Вопрос по программе ""Аполло""",2007-01-26 12:02:50,https://vif2ne.org/nvk/forum/archive/words/1291419?text=%CD%CB%CE,2.78K,"Доброго времени суток!Вчера передачка была про НЛО якобы виденные американцами на Луне.ИМХО байки все это.Но якобы именно из..."""
Pavel,"Спасибо, я уж ту открыл(+)",2007-01-29 11:42:31,https://vif2ne.org/nvk/forum/archive/words/1291425?text=%CD%CB%CE,1.77K,"Доброго времени суток!Короче, все ясно, причина закрытия чисто финансовая и никаких НЛО как я и предполагал:-)С уважение..."""
Мертник С.,И я про то: нормальную такую кину,2010-04-02 17:54:44,https://vif2ne.org/nvk/forum/archive/words/1832730?text=%CD%CB%CE,2.12K,"САС!!!>по нему кино крутят.про зомбей, НЛО и ведьм. Как раз для верхней вольты (пока)..."""
Геннадий Нечаев,Re: И я...,2010-05-02 08:47:57,https://vif2ne.org/nvk/forum/archive/words/1832731?text=%CD%CB%CE,2.00K,"Ave!>про зомбей, НЛО и ведьм. Как раз для верхней вольты (пока) с ракетами.Ну и что? их во в..."""
Booker,Любопытный коммент от бывшего двухгодичника (к истории хол.войны):,2013-05-10 23:49:20,https://vif2ne.org/nvk/forum/archive/words/2523280?text=%CD%CB%CE,4.17K,"Это другие войска, но после прочтения интервью Петрова музыкой, видимо, навеяло:А-й 05.10.13 17:58:33 кстати о ""штат..."""
Сергей Зыков,Re: ??по слежению...,2015-11-18 15:52:55,https://vif2ne.org/nvk/forum/archive/words/2746982?text=%CD%CB%CE,2.84K,">Можно для профана пояснить по возможностям слежения за ближним или не совсем космосом или хотя бы подсказать, ..."""
john1973,Re: ??по слежению...,2015-11-18 23:35:59,https://vif2ne.org/nvk/forum/archive/words/2746986?text=%CD%CB%CE,2.20K,">  http://vk.com/v.chernobrov>Вадим Чернобров. ""Хрон..."""
john1973,Re: ??по слежению...,2015-11-18 23:38:58,https://vif2ne.org/nvk/forum/archive/words/2746987?text=%CD%CB%CE,2.33K,">>   http://vk.com/v.chernobrov>>Вадим Чернобров. ""Х..."""
john1973,"Re: Спасибо, поржал.",2018-04-23 18:29:47,https://vif2ne.org/nvk/forum/archive/words/2846693?text=%CD%CB%CE,2.41K,">Вспомните, кто первым встретил Гагарина, наконец. ))))Да, жители села заметили, и местные власти пр..."""
